자치구,행정동,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
종로구,사직동,155,253,322,312,408,652,831,645,767,691,773,722,681,614,388,337,304,208,82,25,7
종로구,삼청동,37,66,97,106,83,159,152,162,200,172,188,180,191,195,136,133,97,55,27,5,NA
종로구,부암동,120,234,371,411,519,640,709,556,678,681,837,787,724,667,431,380,265,180,63,26,3
종로구,평창동,368,550,756,769,885,1020,1061,1013,1260,1192,1549,1568,1541,1314,868,664,483,358,163,31,13
종로구,무악동,188,297,458,445,426,370,397,430,603,631,823,596,622,508,346,279,241,139,47,9,2
종로구,교남동,282,409,361,397,424,642,703,724,863,825,899,759,624,562,417,344,239,146,43,11,NA
종로구,가회동,58,97,148,162,149,219,289,249,294,322,352,330,297,261,196,177,149,79,31,8,1
종로구,종로1.2.3.4가동,155,212,239,234,400,770,736,623,672,588,645,648,715,669,433,327,262,120,43,12,3
종로구,종로5.6가동,46,106,90,120,479,842,691,371,316,289,393,444,466,356,244,224,171,85,29,8,NA
종로구,이화동,72,94,138,205,652,1235,836,508,441,378,516,508,535,418,344,255,222,127,44,10,NA
종로구,창신1동,63,58,75,100,499,571,453,292,274,267,377,500,573,512,311,226,156,102,29,2,NA
종로구,창신2동,89,87,126,193,687,819,656,456,415,434,766,911,885,729,467,352,278,131,47,10,NA
종로구,창신3동,125,146,175,229,370,479,526,423,413,389,530,606,598,511,327,235,196,97,38,11,1
종로구,숭인1동,81,93,159,176,340,493,487,393,413,404,571,538,567,461,319,251,191,106,35,10,2
종로구,숭인2동,105,94,122,192,1131,2029,1506,751,575,534,725,832,773,676,467,332,235,119,35,6,NA
종로구,청운효자동,222,316,493,536,550,761,839,687,868,923,1007,901,743,673,500,426,349,217,81,15,4
종로구,혜화동,194,280,491,873,3710,3220,1458,869,956,931,1255,1077,981,766,593,541,493,282,100,19,7
중구,소공동,104,155,163,154,98,195,325,372,476,385,297,243,163,145,73,55,41,26,7,2,1
중구,회현동,80,112,129,146,173,286,323,308,324,307,447,430,491,488,365,234,166,101,42,19,1
중구,명동,36,58,68,96,184,292,282,242,235,239,291,294,269,270,189,139,109,48,31,6,NA
중구,필동,70,69,94,161,654,733,590,454,309,276,297,307,289,324,214,144,126,73,39,16,2
중구,장충동,67,75,108,225,1005,809,511,288,294,261,331,308,287,285,213,178,150,84,27,8,1
중구,광희동,71,73,104,143,781,1055,945,596,453,360,404,443,459,429,316,209,173,87,22,7,NA
중구,을지로동,95,43,48,54,129,351,528,487,316,241,214,184,207,182,137,81,65,45,6,5,NA
중구,신당5동,214,219,248,257,523,992,1107,855,708,687,824,887,858,698,483,390,285,145,45,14,1
중구,황학동,309,304,232,247,701,1772,1998,1440,1115,856,904,912,895,788,588,434,284,127,62,11,1
중구,중림동,449,460,357,368,490,883,1060,1137,1192,952,955,900,885,739,528,453,306,188,70,10,6
중구,신당동,102,160,123,159,658,1196,963,664,591,505,594,695,717,564,390,321,250,109,45,8,2
중구,다산동,186,228,292,384,770,1262,1321,924,920,821,1128,1077,1081,1042,715,559,467,226,83,21,1
중구,약수동,372,404,402,441,678,1018,1196,1137,1129,981,1292,1337,1394,1304,1002,798,631,385,131,37,4
중구,청구동,292,268,321,329,591,843,1146,977,782,703,947,991,992,924,672,526,417,261,80,21,2
중구,동화동,234,334,335,368,491,576,687,643,697,658,817,940,926,801,500,392,315,191,74,14,1
용산구,후암동,246,381,535,562,750,1400,1649,1247,1194,1117,1345,1273,1264,1096,799,553,433,273,81,23,8
용산구,용산2가동,132,160,199,271,575,1012,1196,885,753,651,712,637,670,680,496,415,294,195,64,17,1
용산구,남영동,60,73,102,148,294,577,699,473,403,450,703,756,829,656,386,260,192,114,32,7,4
용산구,원효로2동,326,394,452,472,711,1115,1384,1039,1014,903,1110,1088,1046,884,570,466,331,234,80,19,3
용산구,효창동,305,361,332,339,593,915,1149,926,855,730,899,856,711,557,367,305,260,145,52,10,1
용산구,용문동,280,269,294,337,534,988,1079,884,826,687,920,914,845,767,555,466,347,182,49,15,6
용산구,이촌1동,808,1354,1416,1218,1290,1247,1351,1725,2148,2071,2394,2106,1668,1512,970,753,684,507,206,49,6
용산구,이촌2동,238,160,184,240,316,442,661,663,632,499,600,629,616,666,424,339,253,143,56,14,2
용산구,이태원1동,117,179,173,191,289,704,934,705,619,494,531,548,569,504,336,266,190,135,53,14,3
용산구,이태원2동,195,266,253,267,462,858,1193,934,934,694,794,653,623,600,394,354,301,168,61,16,1
용산구,서빙고동,296,418,706,740,790,746,810,782,1060,1199,1209,989,964,799,515,354,300,277,105,21,7
용산구,보광동,95,115,192,211,309,640,768,606,616,579,726,699,742,626,403,321,220,138,50,13,3
용산구,청파동,209,230,366,571,1781,2453,2223,1372,1101,1099,1496,1483,1393,1187,822,637,522,258,81,18,5
용산구,원효로1동,564,566,520,483,905,1976,2561,1911,1572,1199,1238,1085,1029,828,535,382,261,137,62,8,1
용산구,한강로동,756,608,537,610,986,2092,2890,2267,1881,1412,1599,1795,1607,1303,798,585,419,261,101,24,4
용산구,한남동,483,559,575,582,607,989,1450,1464,1563,1290,1366,1166,1034,928,677,485,355,191,78,18,3
성동구,왕십리2동,489,497,487,524,854,1358,1622,1350,1271,1047,1311,1269,1247,1026,694,535,381,198,71,15,3
성동구,마장동,443,487,590,858,1969,2396,1963,1381,1307,1267,1670,1754,1716,1475,1057,818,611,318,102,24,2
성동구,사근동,136,156,191,759,3351,3016,1317,584,542,517,670,626,548,444,361,340,277,148,26,8,NA
성동구,행당1동,391,411,465,509,950,1265,1366,1123,1036,956,1139,1031,973,808,533,444,342,177,51,15,6
성동구,행당2동,703,792,883,954,1114,1334,1671,1800,1757,1683,2052,1899,1644,1425,997,877,587,317,108,23,6
성동구,응봉동,376,506,685,743,722,875,1023,1035,1267,1211,1403,1148,1015,825,639,506,428,214,74,14,NA
성동구,금호1가동,482,519,527,505,622,801,1084,1185,1343,1137,1177,1123,1095,1045,743,531,362,222,79,13,1
성동구,금호4가동,506,592,485,447,506,767,1120,1289,1408,1105,1151,995,997,943,675,527,372,197,77,14,2
성동구,성수1가1동,384,367,367,473,793,1323,1628,1334,1110,874,1251,1464,1361,1096,615,419,299,149,54,12,3
성동구,성수1가2동,343,312,336,410,678,1163,1342,1226,986,910,1060,969,921,876,540,386,291,154,35,11,1
성동구,성수2가1동,257,249,332,381,643,1106,1343,1094,981,866,1171,1311,1581,1236,792,511,388,175,68,11,1
성동구,성수2가3동,191,187,237,256,551,991,1137,746,709,623,736,759,762,652,467,360,269,160,41,9,1
성동구,송정동,148,179,219,248,594,948,974,662,674,635,781,895,892,791,488,358,220,117,34,7,NA
성동구,용답동,123,144,214,298,1044,2063,1656,856,680,703,916,1040,917,775,540,465,362,197,54,12,2
성동구,왕십리도선동,839,1043,877,793,1462,2412,2414,2157,2208,1717,2123,2162,1868,1494,1037,763,605,351,106,20,2
성동구,금호2.3가동,719,706,552,619,913,1320,1823,1930,1819,1533,1716,1628,1553,1413,974,777,576,304,95,18,6
성동구,옥수동,1091,1118,870,764,982,1277,2108,2525,2560,1901,1992,1769,1786,1663,1076,844,609,357,121,36,3
광진구,화양동,157,153,188,781,6542,7330,3728,1695,1138,945,1021,994,842,789,625,498,329,193,49,10,3
광진구,군자동,289,364,450,614,2435,3355,2377,1470,1329,1128,1283,1293,1362,1212,817,640,511,221,74,10,5
광진구,중곡1동,249,253,319,338,874,1903,1937,1254,1066,900,1117,1244,1175,1048,676,529,386,194,52,14,1
광진구,중곡2동,273,462,574,645,1070,2164,2244,1490,1441,1253,1601,1663,1684,1436,968,729,473,216,64,18,NA
광진구,중곡3동,265,268,354,393,741,1530,1656,1161,998,1003,1223,1344,1377,1227,796,617,449,209,52,10,1
광진구,중곡4동,426,480,724,906,1369,2298,2427,1764,1734,1721,2272,2675,2585,2276,1520,1116,760,354,107,25,6
광진구,능동,210,210,239,274,747,1567,1504,1012,890,712,756,716,653,622,431,356,256,127,31,7,1
광진구,구의1동,348,426,534,688,1619,3318,2865,1864,1658,1499,1821,1740,1583,1343,849,699,490,249,81,18,3
광진구,구의2동,469,748,1002,1119,1322,1868,2075,1676,1961,1939,2247,2232,2064,1809,1198,969,616,351,100,16,7
광진구,구의3동,646,838,1055,1224,1516,2360,2476,2081,2049,2047,2420,2241,2010,1791,1189,850,582,328,133,27,2
광진구,광장동,668,1747,2722,2484,1881,1799,1576,1867,3113,3523,3500,2503,2021,1617,1079,667,537,380,150,46,4
광진구,자양1동,270,379,594,753,1497,2676,2438,1609,1562,1545,1709,1827,1708,1483,949,745,565,266,78,25,1
광진구,자양2동,581,636,812,855,1152,2067,2305,1868,1767,1765,1956,1930,1952,1758,1239,778,571,261,102,18,3
광진구,자양3동,804,998,1126,1198,1535,1937,1911,1965,2139,2028,2319,2166,2073,1872,1221,803,581,374,178,35,10
광진구,자양4동,364,404,413,528,1694,2778,2382,1672,1512,1342,1768,2005,1914,1642,1123,836,540,272,96,25,4
동대문구,회기동,119,172,288,555,3309,2809,1220,616,561,602,668,560,491,459,359,296,259,152,50,16,3
동대문구,휘경1동,277,306,336,548,2895,2789,1358,869,883,688,898,933,767,670,524,427,331,168,53,16,3
동대문구,휘경2동,372,526,766,1242,3381,3217,1959,1319,1429,1532,1883,1693,1542,1471,1124,881,593,314,95,24,3
동대문구,청량리동,240,312,403,483,1031,1404,1228,1016,1086,1040,1419,1582,1846,1956,1412,1068,860,434,176,50,5
동대문구,용신동,837,1026,951,1013,3123,4764,4289,3283,3106,2530,2984,2887,2827,2415,1657,1268,976,534,161,37,4
동대문구,제기동,360,374,494,786,3049,3132,2047,1387,1311,1269,1678,1832,1842,1882,1374,1154,870,478,142,24,6
동대문구,전농1동,839,1044,1083,1115,2423,2881,2662,2245,2497,2280,2783,2661,2553,2255,1529,1217,860,492,168,29,6
동대문구,전농2동,375,517,693,777,1073,1116,1179,1076,1236,1299,1596,1528,1498,1381,993,744,595,326,93,17,3
동대문구,답십리2동,734,743,773,882,1249,1768,2250,2088,1964,1737,2173,2281,2337,2089,1562,1141,906,441,138,32,2
동대문구,장안1동,829,1063,1253,1244,1821,3098,3328,2815,3036,2871,3018,2850,2925,2742,1987,1435,944,390,141,20,4
동대문구,장안2동,970,1429,1490,1399,1584,2203,2473,2452,3056,2688,2726,2415,2305,2230,1577,1148,760,317,124,14,1
동대문구,이문1동,615,539,595,1071,4710,3434,1997,1442,1352,1275,1556,1329,1124,1085,712,619,540,292,92,20,4
동대문구,이문2동,392,567,680,815,1494,1436,1192,1097,1306,1286,1633,1621,1415,1360,1060,864,647,314,84,22,3
동대문구,답십리1동,933,1157,1068,880,1490,2373,2629,2394,2636,1992,2051,1984,1894,1666,1086,867,634,313,103,20,4
중랑구,면목2동,348,488,624,672,1029,1749,1946,1523,1528,1617,1916,2326,2357,1937,1314,981,721,345,110,23,6
중랑구,면목4동,338,421,541,545,849,1284,1327,1187,1314,1276,1549,1628,1549,1462,1071,872,612,227,61,18,3
중랑구,면목5동,482,636,476,417,578,859,1083,1176,1336,986,1223,1184,1139,1028,676,476,345,149,43,12,NA
중랑구,면목7동,471,499,476,565,968,1640,1830,1515,1455,1369,1670,1863,1918,1796,1298,950,615,276,113,22,2
