자치구,행정동,남자,여자
종로구,사직동,4078,5099
종로구,삼청동,1180,1261
종로구,부암동,4346,4936
종로구,평창동,8100,9326
종로구,무악동,3600,4257
종로구,교남동,4444,5230
종로구,가회동,1811,2057
종로구,종로1.2.3.4가동,4945,3561
종로구,종로5.6가동,2990,2780
종로구,이화동,3463,4075
종로구,창신1동,2876,2564
종로구,창신2동,4385,4153
종로구,창신3동,3162,3263
종로구,숭인1동,2915,3175
종로구,숭인2동,5235,6004
종로구,청운효자동,5074,6037
종로구,혜화동,8629,10467
중구,소공동,1695,1785
중구,회현동,2574,2398
중구,명동,1466,1912
중구,필동,2616,2625
중구,장충동,2801,2714
중구,광희동,3446,3684
중구,을지로동,1819,1599
중구,신당5동,5028,5412
중구,황학동,6534,7446
중구,중림동,6041,6347
중구,신당동,4205,4611
중구,다산동,6515,6993
중구,약수동,7420,8653
중구,청구동,5657,6428
중구,동화동,4791,5203
용산구,후암동,7790,8439
용산구,용산2가동,4897,5118
용산구,남영동,4339,2879
용산구,원효로1동,8272,9551
용산구,원효로2동,6383,7258
용산구,효창동,4994,5674
용산구,용문동,5297,5947
용산구,이촌1동,11987,13496
용산구,이촌2동,3644,4133
용산구,이태원1동,3976,3578
용산구,이태원2동,4782,5239
용산구,서빙고동,6327,6760
용산구,보광동,4220,3852
용산구,청파동,8783,10524
용산구,한강로동,10750,11785
용산구,한남동,7611,8252
성동구,왕십리2동,7742,8507
성동구,마장동,10744,11464
성동구,사근동,6986,7031
성동구,행당1동,6612,7379
성동구,행당2동,10535,12091
성동구,응봉동,6960,7749
성동구,금호1가동,6908,7688
성동구,금호4가동,6677,7498
성동구,성수1가1동,7616,7760
성동구,성수1가2동,6264,6686
성동구,성수2가1동,7480,7017
성동구,성수2가3동,4873,4971
성동구,송정동,5164,4700
성동구,용답동,6623,6438
성동구,왕십리도선동,12391,14062
성동구,금호2.3가동,9965,11029
성동구,옥수동,11817,13635
광진구,화양동,12456,15554
광진구,군자동,10398,10841
광진구,중곡1동,7343,8186
광진구,중곡2동,9616,10852
광진구,중곡3동,7683,7991
광진구,중곡4동,13348,14197
광진구,능동,5203,6118
광진구,구의1동,11179,12516
광진구,구의2동,12221,13567
광진구,구의3동,13114,14751
광진구,광장동,16346,17538
광진구,자양1동,10943,11736
광진구,자양2동,11734,12642
광진구,자양3동,13050,14223
광진구,자양4동,11236,12078
동대문구,전농1동,16595,17027
동대문구,전농2동,8567,9548
동대문구,답십리1동,13420,14754
동대문구,답십리2동,13027,14263
동대문구,장안1동,18474,19340
동대문구,장안2동,16385,16976
동대문구,회기동,5994,7570
동대문구,휘경1동,7004,8735
동대문구,휘경2동,12488,12878
동대문구,이문1동,11525,12878
동대문구,이문2동,9253,10035
동대문구,청량리동,9307,9744
동대문구,용신동,19804,20868
동대문구,제기동,12680,12811
중랑구,면목2동,11602,11958
중랑구,면목4동,8983,9151
중랑구,면목5동,7065,7239
중랑구,면목7동,10531,10780
중랑구,상봉1동,11119,11794
중랑구,상봉2동,10055,11388
중랑구,중화1동,9107,9349
중랑구,중화2동,12253,11854
중랑구,묵1동,15955,17640
중랑구,묵2동,8910,9286
중랑구,망우3동,7904,7963
중랑구,신내1동,17817,19301
중랑구,신내2동,9092,10242
중랑구,면목본동,16171,16880
중랑구,면목3.8동,11941,12331
중랑구,망우본동,18969,19690
성북구,돈암1동,6562,7517
성북구,돈암2동,10992,12231
성북구,안암동,8504,9242
성북구,보문동,7891,8592
성북구,정릉1동,8463,9278
성북구,정릉2동,10688,11679
성북구,정릉3동,7696,8037
성북구,정릉4동,11478,12818
성북구,길음1동,16830,18802
성북구,길음2동,10270,11256
성북구,월곡1동,12170,13198
성북구,월곡2동,9096,10212
성북구,장위1동,11292,11962
성북구,장위2동,6400,6709
성북구,장위3동,7558,7929
성북구,성북동,7583,8733
성북구,삼선동,10562,12012
성북구,동선동,6305,9631
성북구,종암동,19001,20082
성북구,석관동,16840,17468
강북구,번1동,8318,8842
강북구,번2동,6973,7702
강북구,번3동,7382,8572
강북구,수유1동,9655,10345
강북구,수유2동,9648,10754
강북구,수유3동,11471,12523
강북구,삼양동,12118,12433
강북구,미아동,10110,11302
강북구,송중동,13569,15007
강북구,송천동,11447,11789
강북구,삼각산동,14572,15761
강북구,우이동,9318,10359
강북구,인수동,13758,15069
도봉구,쌍문1동,9881,11227
도봉구,쌍문2동,8511,9285
도봉구,쌍문3동,7737,8686
도봉구,쌍문4동,8382,9483
도봉구,방학1동,13565,13990
도봉구,방학2동,9073,9098
도봉구,방학3동,12447,13324
도봉구,창1동,11326,12585
도봉구,창2동,13480,14441
도봉구,창3동,6436,6545
도봉구,창4동,12537,13828
도봉구,창5동,11230,12510
도봉구,도봉1동,9857,9935
도봉구,도봉2동,12667,13325
노원구,월계1동,10849,10347
노원구,월계2동,12072,13202
노원구,월계3동,13477,14820
노원구,공릉1동,17520,18891
노원구,공릉2동,20278,21850
노원구,하계1동,12787,13948
노원구,하계2동,9891,10961
노원구,중계본동,10829,11603
노원구,중계1동,12762,13450
노원구,중계4동,9196,9831
노원구,상계1동,17491,18963
노원구,상계2동,9341,9666
노원구,상계5동,10934,11657
노원구,상계8동,10128,11328
노원구,상계9동,8980,10294
노원구,상계10동,8239,9671
노원구,중계2.3동,14335,17342
노원구,상계3.4동,13494,13671
노원구,상계6.7동,14239,16774
은평구,녹번동,16684,19124
은평구,불광1동,17591,20065
은평구,불광2동,12813,13903
은평구,갈현1동,6886,7440
은평구,갈현2동,12857,14555
은평구,구산동,15035,16050
은평구,대조동,12611,14889
은평구,응암1동,15040,17445
은평구,응암2동,13152,14129
은평구,응암3동,11334,12226
은평구,신사1동,12488,13729
은평구,신사2동,9210,9582
은평구,증산동,7599,8154
은평구,수색동,10263,11043
은평구,진관동,24706,28723
은평구,역촌동,21156,23984
서대문구,천연동,7870,8777
서대문구,홍제1동,11546,13224
서대문구,홍제2동,5720,6527
서대문구,홍제3동,8352,9256
서대문구,홍은1동,10641,11543
서대문구,홍은2동,13744,15282
서대문구,남가좌1동,8066,8850
서대문구,남가좌2동,14347,16078
서대문구,북가좌1동,8345,9124
서대문구,북가좌2동,14650,15820
서대문구,충현동,9463,10366
서대문구,북아현동,7528,8099
서대문구,신촌동,10272,17610
서대문구,연희동,17199,19786
마포구,용강동,10073,11493
마포구,대흥동,7402,8655
마포구,염리동,8239,9476
마포구,신수동,10900,11599
마포구,서교동,11520,14550
마포구,합정동,7481,8875
마포구,망원1동,8763,10219
마포구,망원2동,8175,9530
마포구,연남동,6914,8101
마포구,성산1동,8660,10252
마포구,성산2동,17122,21700
마포구,상암동,14026,16008
마포구,도화동,9782,10864
마포구,서강동,11915,13359
마포구,공덕동,17042,19633
마포구,아현동,13682,15842
양천구,목1동,14410,15739
양천구,목2동,13707,14776
양천구,목3동,9953,11108
양천구,목4동,11780,12483
양천구,목5동,20196,20589
양천구,신월1동,9778,9319
양천구,신월2동,10053,10619
양천구,신월3동,7430,6735
양천구,신월4동,8300,8829
양천구,신월5동,6885,7080
양천구,신월6동,6718,7072
양천구,신월7동,8875,9454
양천구,신정1동,9530,10144
양천구,신정2동,9127,9513
양천구,신정3동,23384,25151
양천구,신정4동,15443,16613
양천구,신정6동,11627,12351
양천구,신정7동,13443,14687
강서구,염창동,19741,21514
강서구,등촌1동,11625,13618
강서구,등촌2동,9367,9911
강서구,등촌3동,13667,15457
강서구,화곡본동,15705,16842
강서구,화곡1동,24557,26409
강서구,화곡2동,8164,8897
강서구,화곡3동,9965,10988
강서구,화곡4동,9453,9988
강서구,화곡6동,12323,13584
강서구,화곡8동,11133,11995
강서구,가양1동,15144,18821
강서구,가양2동,6197,6976
강서구,가양3동,6294,7371
강서구,발산1동,16693,18623
강서구,공항동,15045,14738
강서구,방화1동,19926,20998
강서구,방화2동,11400,11713
강서구,방화3동,10416,11329
강서구,우장산동,20709,22798
구로구,신도림동,17436,18836
구로구,구로1동,9955,10541
구로구,구로2동,14823,13948
구로구,구로3동,12732,11993
구로구,구로4동,10846,11195
구로구,구로5동,15502,16147
구로구,고척1동,13293,13430
구로구,고척2동,12665,13106
구로구,개봉1동,16850,17171
구로구,개봉2동,14222,15227
구로구,개봉3동,9436,10093
구로구,오류1동,11107,12212
구로구,오류2동,17339,19123
구로구,수궁동,11094,11667
구로구,가리봉동,7022,5431
구로구,항동,7882,8403
금천구,가산동,14786,12718
금천구,독산1동,24727,24282
금천구,독산2동,9412,9369
금천구,독산3동,13341,12891
금천구,독산4동,7932,7813
금천구,시흥1동,16547,16701
금천구,시흥2동,9660,10535
금천구,시흥3동,5057,5217
금천구,시흥4동,9565,9772
금천구,시흥5동,8972,9134
영등포구,여의동,16149,18144
영등포구,당산1동,10358,11202
영등포구,당산2동,17107,19714
영등포구,양평1동,8802,9661
영등포구,양평2동,11041,11874
영등포구,신길1동,10442,10015
영등포구,신길3동,8430,8524
영등포구,신길4동,6185,6379
영등포구,신길5동,5211,5362
영등포구,신길6동,8986,9561
영등포구,신길7동,9815,10016
영등포구,대림1동,8040,7981
영등포구,대림2동,8950,8698
영등포구,대림3동,12375,12222
영등포구,영등포본동,11408,10847
영등포구,영등포동,16251,15894
영등포구,도림동,9900,9671
영등포구,문래동,15379,16240
동작구,노량진1동,17124,16739
동작구,노량진2동,4717,4230
동작구,상도1동,22121,24237
동작구,상도2동,13029,14543
동작구,상도3동,11383,12645
동작구,상도4동,14220,15280
동작구,사당1동,10927,11933
동작구,사당2동,13492,14720
동작구,사당3동,11388,12218
동작구,사당4동,6625,7258
동작구,사당5동,6772,7399
동작구,대방동,16210,18352
동작구,신대방1동,12047,12844
동작구,신대방2동,10623,11698
동작구,흑석동,15157,16966
관악구,소계,248254,248959
관악구,남현동,8506,9173
관악구,보라매동,11598,12167
관악구,청림동,6933,7620
관악구,행운동,14093,15278
관악구,낙성대동,9082,9013
관악구,중앙동,7376,8289
관악구,인헌동,12278,13152
관악구,서원동,12448,11529
관악구,신원동,9338,9036
관악구,서림동,13555,11213
관악구,신사동,12108,12372
관악구,신림동,12853,11396
관악구,난향동,7171,7504
관악구,조원동,10463,10728
관악구,대학동,16434,11850
관악구,은천동,15740,16477
관악구,성현동,14095,15126
