자치구,성별,연령,인구수
강남구,남자,0~4세,6076
강남구,남자,5~9세,7904
강남구,남자,10~14세,9262
강남구,남자,15~19세,8594
강남구,남자,20~24세,9212
강남구,남자,25~29세,12449
강남구,남자,30~34세,13934
강남구,남자,35~39세,13261
강남구,남자,40~44세,18039
강남구,남자,45~49세,23373
강남구,남자,50~54세,20667
강남구,남자,55~59세,17399
강남구,남자,60~64세,17316
강남구,남자,65~69세,15835
강남구,남자,70~74세,16948
강남구,남자,75~79세,14666
강남구,남자,80~84세,12853
강남구,남자,85~89세,7605
강남구,남자,90~94세,3216
강남구,남자,95세 이상+,1100
강남구,여자,0~4세,5658
강남구,여자,5~9세,7309
강남구,여자,10~14세,8438
강남구,여자,15~19세,7923
강남구,여자,20~24세,9958
강남구,여자,25~29세,15208
강남구,여자,30~34세,16399
강남구,여자,35~39세,16050
강남구,여자,40~44세,22388
강남구,여자,45~49세,25915
강남구,여자,50~54세,20927
강남구,여자,55~59세,18136
강남구,여자,60~64세,18624
강남구,여자,65~69세,17848
강남구,여자,70~74세,19600
강남구,여자,75~79세,16935
강남구,여자,80~84세,15018
강남구,여자,85~89세,9341
강남구,여자,90~94세,4189
강남구,여자,95세 이상+,1747
강동구,남자,0~4세,8003
강동구,남자,5~9세,8539
강동구,남자,10~14세,7709
강동구,남자,15~19세,6371
강동구,남자,20~24세,7924
강동구,남자,25~29세,11427
강동구,남자,30~34세,13361
강동구,남자,35~39세,14025
강동구,남자,40~44세,18035
강동구,남자,45~49세,20482
강동구,남자,50~54세,17825
강동구,남자,55~59세,16516
강동구,남자,60~64세,17843
강동구,남자,65~69세,16948
강동구,남자,70~74세,17766
강동구,남자,75~79세,15208
강동구,남자,80~84세,12932
강동구,남자,85~89세,6991
강동구,남자,90~94세,2502
강동구,남자,95세 이상+,672
강동구,여자,0~4세,7680
강동구,여자,5~9세,8048
강동구,여자,10~14세,7151
강동구,여자,15~19세,5905
강동구,여자,20~24세,8106
강동구,여자,25~29세,13425
강동구,여자,30~34세,15239
강동구,여자,35~39세,15338
강동구,여자,40~44세,19656
강동구,여자,45~49세,20777
강동구,여자,50~54세,18007
강동구,여자,55~59세,17354
강동구,여자,60~64세,19298
강동구,여자,65~69세,18716
강동구,여자,70~74세,20252
강동구,여자,75~79세,17606
강동구,여자,80~84세,16170
강동구,여자,85~89세,9539
강동구,여자,90~94세,3903
강동구,여자,95세 이상+,1486
강북구,남자,0~4세,2354
강북구,남자,5~9세,2189
강북구,남자,10~14세,1826
강북구,남자,15~19세,1647
강북구,남자,20~24세,3283
강북구,남자,25~29세,6076
강북구,남자,30~34세,6685
강북구,남자,35~39세,6160
강북구,남자,40~44세,7310
강북구,남자,45~49세,8078
강북구,남자,50~54세,7628
강북구,남자,55~59세,7882
강북구,남자,60~64세,9238
강북구,남자,65~69세,9485
강북구,남자,70~74세,10573
강북구,남자,75~79세,9002
강북구,남자,80~84세,7713
강북구,남자,85~89세,4261
강북구,남자,90~94세,1472
강북구,남자,95세 이상+,411
강북구,여자,0~4세,2277
강북구,여자,5~9세,2067
강북구,여자,10~14세,1716
강북구,여자,15~19세,1697
강북구,여자,20~24세,4505
강북구,여자,25~29세,7354
강북구,여자,30~34세,6985
강북구,여자,35~39세,5916
강북구,여자,40~44세,6893
강북구,여자,45~49세,7290
강북구,여자,50~54세,7051
강북구,여자,55~59세,7632
강북구,여자,60~64세,9305
강북구,여자,65~69세,10017
강북구,여자,70~74세,12006
강북구,여자,75~79세,11074
강북구,여자,80~84세,11018
강북구,여자,85~89세,6831
강북구,여자,90~94세,2955
강북구,여자,95세 이상+,1171
강서구,남자,0~4세,7248
강서구,남자,5~9세,6025
강서구,남자,10~14세,4877
강서구,남자,15~19세,4196
강서구,남자,20~24세,6504
강서구,남자,25~29세,13621
강서구,남자,30~34세,18239
강서구,남자,35~39세,16521
강서구,남자,40~44세,17936
강서구,남자,45~49세,18514
강서구,남자,50~54세,16126
강서구,남자,55~59세,15164
강서구,남자,60~64세,16647
강서구,남자,65~69세,16291
강서구,남자,70~74세,17221
강서구,남자,75~79세,14620
강서구,남자,80~84세,12933
강서구,남자,85~89세,7175
강서구,남자,90~94세,2639
강서구,남자,95세 이상+,734
강서구,여자,0~4세,7084
강서구,여자,5~9세,5863
강서구,여자,10~14세,4682
강서구,여자,15~19세,4113
강서구,여자,20~24세,7984
강서구,여자,25~29세,18552
강서구,여자,30~34세,20663
강서구,여자,35~39세,16969
강서구,여자,40~44세,18337
강서구,여자,45~49세,18216
강서구,여자,50~54세,16129
강서구,여자,55~59세,15574
강서구,여자,60~64세,17697
강서구,여자,65~69세,17877
강서구,여자,70~74세,19662
강서구,여자,75~79세,17904
강서구,여자,80~84세,17476
강서구,여자,85~89세,10838
강서구,여자,90~94세,4534
강서구,여자,95세 이상+,1720
관악구,남자,0~4세,4156
관악구,남자,5~9세,3140
관악구,남자,10~14세,2423
관악구,남자,15~19세,2545
관악구,남자,20~24세,8581
관악구,남자,25~29세,23554
관악구,남자,30~34세,22893
관악구,남자,35~39세,15547
관악구,남자,40~44세,15121
관악구,남자,45~49세,15135
관악구,남자,50~54세,13429
관악구,남자,55~59세,12906
관악구,남자,60~64세,14266
관악구,남자,65~69세,13516
관악구,남자,70~74세,14341
관악구,남자,75~79세,12109
관악구,남자,80~84세,10415
관악구,남자,85~89세,5715
관악구,남자,90~94세,2213
관악구,남자,95세 이상+,626
관악구,여자,0~4세,4027
관악구,여자,5~9세,2979
관악구,여자,10~14세,2305
관악구,여자,15~19세,2707
관악구,여자,20~24세,11319
관악구,여자,25~29세,24845
관악구,여자,30~34세,19855
관악구,여자,35~39세,12879
관악구,여자,40~44세,12410
관악구,여자,45~49세,12399
관악구,여자,50~54세,11575
관악구,여자,55~59세,11610
관악구,여자,60~64세,13167
관악구,여자,65~69세,13252
관악구,여자,70~74세,14955
관악구,여자,75~79세,13899
관악구,여자,80~84세,13627
관악구,여자,85~89세,8683
관악구,여자,90~94세,3733
관악구,여자,95세 이상+,1442
광진구,남자,0~4세,3538
광진구,남자,5~9세,3044
광진구,남자,10~14세,2659
광진구,남자,15~19세,2524
광진구,남자,20~24세,6122
광진구,남자,25~29세,11726
광진구,남자,30~34세,11643
광진구,남자,35~39세,9218
광진구,남자,40~44세,9843
광진구,남자,45~49세,10505
광진구,남자,50~54세,9467
광진구,남자,55~59세,9316
광진구,남자,60~64세,10247
광진구,남자,65~69세,9567
광진구,남자,70~74세,9980
광진구,남자,75~79세,8521
광진구,남자,80~84세,7266
광진구,남자,85~89세,4142
광진구,남자,90~94세,1591
광진구,남자,95세 이상+,502
광진구,여자,0~4세,3407
광진구,여자,5~9세,2987
광진구,여자,10~14세,2610
광진구,여자,15~19세,2770
광진구,여자,20~24세,8121
광진구,여자,25~29세,14375
광진구,여자,30~34세,12999
광진구,여자,35~39세,9916
광진구,여자,40~44세,10715
광진구,여자,45~49세,10988
광진구,여자,50~54세,9970
광진구,여자,55~59세,9896
광진구,여자,60~64세,10737
광진구,여자,65~69세,10334
광진구,여자,70~74세,11457
광진구,여자,75~79세,10108
광진구,여자,80~84세,9590
광진구,여자,85~89세,6051
광진구,여자,90~94세,2632
광진구,여자,95세 이상+,1068
구로구,남자,0~4세,5525
구로구,남자,5~9세,4586
구로구,남자,10~14세,3532
구로구,남자,15~19세,3120
구로구,남자,20~24세,5206
구로구,남자,25~29세,9614
구로구,남자,30~34세,11992
구로구,남자,35~39세,11716
구로구,남자,40~44세,13233
구로구,남자,45~49세,13888
구로구,남자,50~54세,12921
구로구,남자,55~59세,13087
구로구,남자,60~64세,14808
구로구,남자,65~69세,14257
구로구,남자,70~74세,15185
구로구,남자,75~79세,13389
구로구,남자,80~84세,11379
구로구,남자,85~89세,6325
구로구,남자,90~94세,2301
구로구,남자,95세 이상+,639
구로구,여자,0~4세,5131
구로구,여자,5~9세,4279
구로구,여자,10~14세,3335
구로구,여자,15~19세,3014
구로구,여자,20~24세,5589
구로구,여자,25~29세,10934
구로구,여자,30~34세,12671
구로구,여자,35~39세,11386
구로구,여자,40~44세,12628
구로구,여자,45~49세,13104
구로구,여자,50~54세,12405
구로구,여자,55~59세,12824
구로구,여자,60~64세,14351
구로구,여자,65~69세,14390
구로구,여자,70~74세,16486
구로구,여자,75~79세,15242
구로구,여자,80~84세,14540
구로구,여자,85~89세,9088
구로구,여자,90~94세,3700
구로구,여자,95세 이상+,1395
금천구,남자,0~4세,2597
금천구,남자,5~9세,1925
금천구,남자,10~14세,1467
금천구,남자,15~19세,1348
금천구,남자,20~24세,2627
금천구,남자,25~29세,7031
금천구,남자,30~34세,8929
금천구,남자,35~39세,7365
금천구,남자,40~44세,7563
금천구,남자,45~49세,7810
금천구,남자,50~54세,7384
금천구,남자,55~59세,7595
금천구,남자,60~64세,8828
금천구,남자,65~69세,8620
금천구,남자,70~74세,9205
금천구,남자,75~79세,8103
금천구,남자,80~84세,6533
금천구,남자,85~89세,3246
금천구,남자,90~94세,1049
금천구,남자,95세 이상+,262
금천구,여자,0~4세,2502
금천구,여자,5~9세,1894
금천구,여자,10~14세,1460
금천구,여자,15~19세,1392
금천구,여자,20~24세,3145
금천구,여자,25~29세,7944
금천구,여자,30~34세,8276
금천구,여자,35~39세,6398
금천구,여자,40~44세,6526
금천구,여자,45~49세,6743
금천구,여자,50~54세,6491
금천구,여자,55~59세,6877
금천구,여자,60~64세,7847
금천구,여자,65~69세,8000
금천구,여자,70~74세,9247
금천구,여자,75~79세,8871
금천구,여자,80~84세,8279
금천구,여자,85~89세,4994
금천구,여자,90~94세,2090
금천구,여자,95세 이상+,778
노원구,남자,0~4세,5538
노원구,남자,5~9세,5517
노원구,남자,10~14세,5253
노원구,남자,15~19세,4956
노원구,남자,20~24세,7914
