자치구,수급률,중국,대만,일본,몽골,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,말레이시아,라오스,동티모르,기타,스리랑카,파키스탄,방글라데시,네팔,기타,우즈베키스탄,카자흐스탄,키르기스탄,기타,미국,캐나다,러시아,러시아(한국계),영국,기타,오세아니아,중남미,아프리카,지체,청각,시각,지적,정신,언어,자폐성,1인가구,2인가구,3인 이상 가구,5인 이상 가구,평균 가구원수 (명),강좌_비율,참가자_비율,운영_관심도_점수,이용_관심도_점수,공공도서관_합계,공연장 수,"박물관,미술관 수","복지시설, 전수시설 수 ",초등학교,중학교,고등학교,십만명당 공연장 수 ,"십만명당 박물관, 미술관 수 ","십만명당 복지시설,전수시설 수 "
강남구,3.08,1916,120,356,97,244,65,299,40,31,45,31,6,NA,24,8,28,6,19,66,72,155,8,5,2473,866,145,20,156,478,284,90,78,5756,2350,1586,1045,816,125,768,76809,55790,78148,8148,2.3,155.43,100886.19,100,100,17,5,1,15,34,24,22,0.9,0.2,2.8
강동구,3.64,3612,64,166,276,395,105,309,15,78,57,10,7,NA,NA,15,18,13,20,29,148,74,15,NA,471,185,61,6,49,148,95,39,38,7726,2904,2009,1540,677,182,639,62943,50911,68939,6806,2.3,39.74,11164.27,73.37,80.9,9,3,1,10,29,19,14,0.7,0.2,2.2
강북구,9.93,2802,112,142,990,816,109,481,26,23,32,9,8,NA,NA,6,36,8,38,11,138,87,14,14,217,41,62,25,19,185,28,25,43,6960,2864,1876,1234,728,155,233,52659,37110,37727,3867,2.1,3.9,1360.45,31.44,62.63,7,4,0,10,14,13,7,1.4,NA,3.5
강서구,6.57,4764,214,306,108,478,141,496,35,77,145,46,13,NA,9,8,20,11,17,46,90,103,9,NA,513,190,109,29,68,205,114,56,81,11024,5057,2729,2085,1538,235,525,104509,67616,76031,7461,2.1,83.14,11602.1,87.73,81.23,9,1,3,20,35,22,23,0.2,0.5,3.6
관악구,5.65,15319,186,501,1031,1246,168,817,213,80,147,138,22,NA,35,45,77,85,113,217,332,312,50,27,629,195,336,58,118,914,118,196,354,7919,3830,2164,1411,842,150,348,150745,56776,50507,5138,1.8,8.73,8662.22,45.04,78.69,5,1,0,12,22,16,17,0.2,NA,2.5
광진구,4.59,12818,133,439,1563,2091,105,930,159,16,159,176,9,NA,15,24,191,161,194,153,478,196,17,9,500,158,136,20,54,411,82,75,74,5059,1972,1297,813,496,87,240,71959,38138,44158,4357,2,43.88,2350.16,75.29,67.37,7,4,1,10,21,12,9,1.2,0.3,3
구로구,4.05,40516,120,199,125,454,131,401,36,34,128,51,5,NA,5,19,29,25,28,30,65,98,10,5,274,87,52,22,29,131,57,30,30,7553,4262,1840,1310,669,176,407,61318,48026,56280,5633,2.2,27.64,12546.13,66.4,81.91,13,3,1,13,26,14,14,0.8,0.3,3.3
금천구,6.34,23303,80,143,179,457,125,417,26,68,96,6,NA,NA,NA,22,21,12,26,17,36,58,16,NA,114,42,28,18,11,80,26,22,30,4837,2524,1154,832,471,82,183,52033,28818,28104,2834,2,4.65,1370.8,34.29,62.7,4,3,0,9,18,9,6,1.3,NA,4
노원구,7.63,1696,78,230,533,1270,101,693,29,40,193,18,8,NA,NA,5,43,24,47,78,101,83,20,NA,385,105,122,26,32,151,57,43,77,10495,3785,2654,2344,1426,225,486,65275,57129,76676,6689,2.3,24.25,9764.72,63.91,79.73,9,3,2,17,42,26,25,0.6,0.4,3.4
도봉구,6.57,1210,46,124,390,438,170,344,17,30,53,11,14,NA,NA,NA,34,8,44,NA,83,30,7,13,206,65,38,5,25,55,32,18,34,6192,2454,1576,1155,704,114,249,41525,38660,44650,4314,2.3,34.93,16675.53,70.88,84.38,9,4,1,12,23,13,9,1.3,0.3,3.9
동대문구,4.98,12056,360,765,1064,3145,200,1429,138,75,134,155,24,NA,45,20,39,69,365,155,395,314,66,23,415,124,210,46,65,733,68,184,214,6616,2600,1465,946,623,131,248,70959,38539,45057,4902,2.1,34.29,9982.39,70.53,79.92,9,0,1,7,21,15,11,NA,0.3,2.1
동작구,3.92,10519,149,331,238,1746,83,757,58,27,62,33,15,NA,9,19,55,27,37,77,133,124,16,7,541,161,139,14,54,429,81,62,426,5547,2681,1452,902,532,131,316,74443,42630,51843,4981,2.1,17.9,3433.26,58.17,70.66,8,0,0,15,21,16,7,NA,NA,4
마포구,3.37,5270,839,856,107,667,102,634,111,33,33,87,12,NA,50,10,29,13,42,132,49,272,20,5,1198,369,172,23,146,1083,189,148,107,4965,1975,1424,867,483,108,312,72112,42340,48436,4522,2.1,94.94,20612.45,90.32,86.22,6,4,1,12,22,14,9,1.1,0.3,3.3
서대문구,4.18,6790,1440,726,250,1642,172,1037,191,45,153,136,26,NA,63,12,42,13,39,195,95,283,43,9,1349,230,134,35,165,1101,133,191,192,4875,1882,1252,840,488,96,242,56170,35157,42609,4230,2.1,13.68,9690.35,53.17,79.67,4,3,3,10,19,14,7,1,1,3.3
서초구,2.19,1455,94,209,50,139,83,182,24,13,15,36,NA,NA,14,NA,8,NA,20,81,48,149,6,12,1924,585,61,9,125,610,223,55,49,3787,1579,1136,747,349,73,401,48756,40607,61201,6726,2.4,23.87,6475.64,63.6,76.17,11,14,1,15,24,16,11,3.4,0.2,3.7
성동구,4.33,5260,120,271,352,981,179,583,188,21,29,103,14,NA,6,8,91,38,51,116,135,103,11,NA,783,232,67,18,53,313,100,38,70,4552,1789,1095,699,398,85,270,48111,32473,38936,3604,2.1,13.88,2567.6,53.43,68.14,7,2,2,14,21,11,7,0.7,0.7,5
성북구,4.57,6245,235,428,1767,1722,286,983,183,39,191,113,18,7,29,37,111,59,91,179,272,314,40,15,767,181,203,36,94,619,81,118,177,7095,2681,1844,1182,606,162,344,69148,47516,61216,6524,2.2,28.87,3983.84,67.23,71.95,13,7,5,12,29,18,13,1.6,1.2,2.8
송파구,3.2,5015,113,252,153,328,89,327,24,33,42,27,13,NA,18,14,8,5,22,116,73,101,8,5,1333,501,60,11,113,227,192,51,71,7801,3202,2025,1578,669,167,880,87140,70574,98172,9971,2.3,116.98,58145.22,94.42,95.22,12,3,2,14,41,29,20,0.5,0.3,2.1
양천구,4.86,3165,128,130,115,272,116,271,21,24,15,11,5,NA,5,NA,10,NA,10,11,37,71,6,NA,392,183,47,10,45,83,81,16,50,7059,3556,1701,1224,628,147,386,47106,45499,70233,6641,2.4,15.15,7770.16,55.06,77.75,10,3,0,14,30,19,15,0.7,NA,3.2
영등포구,3.28,39292,282,250,110,401,70,404,62,35,72,42,12,NA,7,13,26,12,118,40,61,77,7,NA,631,253,78,17,55,251,111,34,40,5785,3175,1484,894,463,122,299,77895,43159,49248,4606,2,17.28,6599.87,57.52,76.33,7,1,1,11,23,12,9,0.3,0.3,2.9
용산구,4.95,1954,244,776,161,336,498,717,80,37,87,705,37,9,54,30,336,97,29,524,152,640,51,24,2334,456,218,47,244,1105,250,167,1602,2731,1123,822,513,248,53,152,42482,26615,26451,2774,2,31.67,26004.57,69,88.23,4,5,3,9,15,9,10,2.3,1.4,4.2
은평구,6.17,2463,390,326,98,486,120,408,33,38,23,27,NA,NA,15,NA,11,8,13,50,65,81,6,NA,422,139,46,17,46,147,62,28,59,8357,3375,2265,1883,1114,170,491,68850,57295,65398,6991,2.2,57.06,17143.3,80.38,84.62,8,1,1,11,30,18,18,0.2,0.2,2.4
종로구,4.47,6206,209,189,133,1961,106,1025,63,14,75,38,6,NA,24,15,24,6,812,40,84,116,5,NA,575,148,90,19,77,367,72,48,61,2297,947,652,381,253,41,121,29334,16191,17060,1922,2,18.58,15071.63,58.88,83.5,9,12,12,9,13,9,14,8.6,8.6,6.5
중구,5.28,4926,358,196,372,1524,113,646,36,16,30,62,7,NA,26,23,44,10,26,112,568,367,34,10,543,156,333,250,64,444,71,47,109,2248,902,631,304,214,28,91,28293,15470,14050,1452,1.9,9.19,22568.32,45.95,87,9,14,8,17,12,8,11,11.5,6.6,14
중랑구,8.3,3154,78,139,2207,770,147,483,13,29,18,20,5,NA,NA,6,10,49,35,5,71,47,18,NA,165,56,32,23,29,70,36,25,24,8897,2763,2092,1385,879,175,334,66906,47751,51804,5362,2.1,4.49,1585.98,33.7,63.96,5,1,0,9,24,14,10,0.3,NA,2.4
