문항번호,차원,분류,내용
Q1_1,Q1,A,도서관 출입이 편리하다
Q1_2,Q1,A,이용할 수 있는 도서관 공간이 충분하다
Q1_3,Q1,A,도서관 시설 이용이 편리하다
Q1_4,Q1,A,도서관 자료가 이용하기 편하게 배치되어 있다
Q1_5,Q1,A,도서관 공간이 편안하게 느껴진다
Q1_6,Q1,A,도서관 공간이 전반적으로 쾌적하다
Q1_7,Q1,B,"경제적 부담없이 도서관의 자원(시설, 자료, 서비스)을 쉽게 이용할 수 있다"
Q1_8,Q1,B,"도서관 이용을 위해 소요되는 시간을 고려하더라도, 도서관을 이용할 가치가 충분하다고 생각한다"
Q1_9,Q1,B,"도서관까지의 이동거리를 고려하더라도, 도서관을 이용할 가치가 충분하다고 생각한다"
Q1_10,Q1,B,"도서관 이용을 위해 사용하는 금액을 고려하더라도, 도서관을 이용할 가치가 충분하다고 생각한다"
Q1_11,Q1,B,내가 이용하는 도서관의 시설에 대해 만족한다
Q1_12,Q1,B,내가 이용하는 도서관은 매력적인 공간이다
Q1_13,Q1,B,나는 도서관에 가면 마음이 편안하다
Q1_14,Q1,C,도서관 공간/이용 편의성 및 그 효과에 대해 만족한다
Q2_1,Q2,A,도서 등 다양한 자료를 제공한다
Q2_2,Q2,A,다양한 주제의 자료를 제공한다
Q2_3,Q2,A,새로운 도서 및 정보를 제공한다
Q2_4,Q2,A,새로운 학습 기회를 제공한다
Q2_5,Q2,A,내가 활용할 수 있는 자료가 충분하다
Q2_6,Q2,A,내가 원하는 자료를 필요할 때 얻을 수 있다
Q2_7,Q2,A,자료 이용에 대해 문의할 수 있는 채널이 있다
Q2_8,Q2,B,도서관 이용이 학업/업무에 도움이 되었다
Q2_9,Q2,B,도서관 이용이 자기계발 및 구직에 도움이 되었다
Q2_10,Q2,B,도서관 이용이 취미/관심사와 관련해 도움이 되었다
Q2_11,Q2,B,"도서관 이용이 일상정보(주거생활, 건강관리, 여가 등) 획득에 도움이 되었다"
Q2_12,Q2,B,도서관 이용이 사회문제 이해 및 관련 활동에 도움이 되었다
Q2_13,Q2,B,도서관 이용으로 경제적 부담이 줄었다
Q2_14,Q2,C,도서관 정보 획득/활용 및 그 효과에 대해 만족한다
Q3_1,Q3,A,"도서관 이용 관련 정보(운영, 행사, 프로그램 등)가 충분하다"
Q3_2,Q3,A,"도서관 이용 관련 정보(운영, 행사, 프로그램 등)가 신속하게 제공된다"
Q3_3,Q3,A,"도서관에서 제공하는 이용 관련 정보(운영, 행사, 프로그램 등)는 신뢰할 수 있다"
Q3_4,Q3,A,내가 필요할 때 사서의 도움을 받을 수 있다
Q3_5,Q3,A,사서들이 친절하고 도움에 적극적이다
Q3_6,Q3,A,나의 의견을 표현하는 통로가 다양하다
Q3_7,Q3,B,"도서관 정보(운영, 행사, 프로그램 등)가 나의 도서관 이용에 도움이 되었다"
Q3_8,Q3,B,도서관 서비스는 나의 기대치를 충족한다
Q3_9,Q3,B,나의 도서관 이용에 사서가 도움이 되었다
Q3_10,Q3,B,도서관은 이용자의 의견을 지속적으로 반영하고 있다
Q3_11,Q3,B,도서관을 이용하며 존중과 배려를 받는다고 느낀다
Q3_12,Q3,C,도서관 소통/정책반영 및 그 효과에 대해 만족한다
Q4_1,Q4,A,내가 원하는 프로그램을 다양하게 제공한다
Q4_2,Q4,A,자녀/가족에게 적합한 프로그램을 제공한다
Q4_3,Q4,A,새로운 프로그램을 지속적으로 제공한다
Q4_4,Q4,A,평소 체험하기 어려운 문화 활동을 지원한다
Q4_5,Q4,A,"사회적 관심도(기후, 인구 등)가 높은 프로그램을 제공한다"
Q4_6,Q4,A,다양한 봉사 기회를 제공한다
Q4_7,Q4,B,평소 도서관의 프로그램을 확인하는 편이다
Q4_8,Q4,B,나의 문화/여가 생활에 도움이 되었다
Q4_9,Q4,B,도서관의 문화·교육 프로그램을 경험하고 지인에게 도서관 이용을 추천하게 되었다
Q4_10,Q4,C,도서관 문화·교육향유 및 그 효과에 대해 만족한다
Q5_1,Q5,A,도서관은 다양한 커뮤니티 활동을 지원한다
Q5_2,Q5,A,도서관은 세대 교류가 가능한 프로그램을 제공한다
Q5_3,Q5,A,도서관은 다양한 인간관계를 형성할 수 있는 곳이다
Q5_4,Q5,B,도서관을 이용하면서 알게 된 사람이 늘어났다
Q5_5,Q5,B,가족 및 지인과 도서관에서 자주 만남을 갖는다
Q5_6,Q5,B,도서관 이용으로 사람들과 더욱 잘 소통할 수 있게 되었다
Q5_7,Q5,B,도서관 이용으로 다른 세대를 더 잘 이해하게 되었다
Q5_8,Q5,B,도서관 이용으로 기존에 알던 사람과 관계가 좋아졌다
Q5_9,Q5,B,도서관 이용으로 내가 사는 지역과 연결된 느낌이 들었다
Q5_10,Q5,C,도서관 기반 사회적 관계형성 및 그 효과에 대해 만족한다
Q6_1,Q6,B,도서관을 이용하면서 책에 대한 관심이 높아졌다
Q6_2,Q6,B,도서관을 이용하면서 독서량이 증가했다
Q6_3,Q6,B,도서관을 이용하면서 다양한 즐거움을 얻었다
Q6_4,Q6,B,도서관을 이용하면서 나의 이해력이 향상되었다
Q6_5,Q6,B,도서관을 통해 나의 문화생활이 풍요로워졌다
Q6_6,Q6,B,도서관을 이용하면서 내가 성장한다고 느꼈다
Q6_7,Q6,B,도서관을 이용하면서 내가 사는 곳에 관심이 생겼다
Q6_8,Q6,B,독서 문화공간으로서 도서관의 중요성을 알게 되었다
Q6_9,Q6,B,도서관을 이용하면서 삶의 질이 좋아졌다
Q6_10,Q6,C,도서관 이용이 나의 행복감 상승에 도움이 되었다
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
